,spotify_id,youtube_id,project_name,artist,project_type,tracks,project_art,year,rating
49,2pQr4wN4SN9Ax3gdXDhrRz,HQx-nFyc0So,lawless darkness,watain,album,10.0,https://i.scdn.co/image/ab67616d000048518554d2f8707404759b8df4b9,2010.0,6.0
50,0nUUc31DQVVsD5PWcieLbm,GW67m43fgO4,þþþþþþþþþþþ,arckanum,album,11.0,https://i.scdn.co/image/ab67616d000048519aaadbcfb1060d7275b72f69,2009.0,8.0
51,1GfxLpg33Fp8bA1DEHUgoy,dccOsytXSJk,"""transparent""",awesome color,track,1.0,https://i.scdn.co/image/ab67616d0000485152656f2e560c34ca7fb7d2e0,2021.0,5.0
52,3DrgM5X3yX1JP1liNLAOHI,X3qyysxKEkU,the suburbs,arcade fire,album,16.0,https://i.scdn.co/image/ab67616d00004851532391d63cfd6d32677f7af6,2010.0,8.0
53,2v2BwHGqd49ldR6pK4XOMP,ZJcfSk9f3YE,lisbon,the walkmen,album,11.0,https://i.scdn.co/image/ab67616d000048518b867fcb10a8811c32f97e02,2010.0,5.0
54,25sYZjutddzUpXNbeQ7bEC,a1HzLIKAQ4A,how i got over,the roots,album,14.0,https://i.scdn.co/image/ab67616d000048515f306aa63a7bb18e7bf9152b,2010.0,8.0
55,0GZMsKdDsbNhxvM1VaxB0U,GqT7NVvRDBQ,sir lucious left foot: the son of chico dusty,big boi,album,15.0,https://i.scdn.co/image/ab67616d000048515cec862f6476c2187004ce4f,2010.0,6.0
56,69mR7YiwQTw7nvlFKBOp7Y,YMyzLX4-Lv4,does it look like i'm here?,emeralds,album,12.0,https://i.scdn.co/image/ab67616d000048513bbeaf7b8e9fffd094cceab3,2010.0,6.0
57,38wsYo0RLncPj1U2vCQr3M,uqY4vTcKTjg,transit transit,autolux,album,10.0,https://i.scdn.co/image/ab67616d000048514e82db91b65401e81dd68906,2010.0,6.0
58,6NrFhPXqdzuW5lbwdxGxcx,r5JLOjog1E0,the wrong car,the twilight sad,track,4.0,https://i.scdn.co/image/ab67616d0000485126649a61dd027f08dd539af9,2010.0,4.0
59,2iZD3ggZbHlAg64cM9iQco,LNlYvkNNX04,the wild hunt,the tallest man on earth,track,10.0,https://i.scdn.co/image/ab67616d0000485139983a909a80348681fde2b0,2010.0,8.0
60,3Ht9pevRimaOYARTDXXWcr,Us2q-4BFSlA,the way out,the books,album,14.0,https://i.scdn.co/image/ab67616d000048514ef051cca4aca7529088bf0c,2010.0,9.0
61,0MlrEKgaeLjTMbOCyOzjbR,F2HofRWJrc4,pattern+grid world,flying lotus,ep,7.0,https://i.scdn.co/image/ab67616d00004851df5612a486fec9dbee85758e,2010.0,8.0
62,3MXU6UoWrf4w4bOvjZTlvY,x217SO9VPwE,the lady killer,cee lo green,album,14.0,https://i.scdn.co/image/ab67616d000048516f50b3400595b123a916e0dc,2010.0,7.0
63,5iaRpin36ZjaOC6PMAZ02l,nmZuDtqod70,oversteps,autechre,album,14.0,https://i.scdn.co/image/ab67616d00004851ad73cac76fd4c2a27ad77fc3,2010.0,5.0
64,11v4o5zILuOA8h564zwI5w,PlNynmu_Cp0,go,jonsi,album,9.0,https://i.scdn.co/image/ab67616d00004851b381e6f9135797afd526b10c,2010.0,6.0
65,7CBK26TFXHyt2l6NQcXIsq,VXaKHorhNIQ,this orient,foals,album,11.0,https://i.scdn.co/image/ab67616d00004851408cece71a6d1cdcf2d4ad15,2022.0,7.0
66,0WLZ8fN0sZn9Qoux0MUrND,XvPpOLp-8LM,"shut up, dude / sit down, man",das racist,album,18.0,https://i.scdn.co/image/ab67616d000048519e18bd5f311401dee24516de,2010.0,6.0
67,1qwuDINuttWBKVx64FiOIj,-DkT8NwxAQA,the final frontier,iron maiden,album,10.0,https://i.scdn.co/image/ab67616d000048516c07316478864ef80f8878e6,2010.0,6.0
68,,YFKNa0z_XzU,usa boys,health,album,-1.0,,-1.0,8.0
69,0UqUKurTeApWQdxb7VBQTB,Cw0jTXZBwDY,tsol,shad,album,10.0,https://i.scdn.co/image/ab67616d000048511ef110e3c9a49607e53aa30b,2001.0,6.0
70,7nEmigeJjeQXknaoltSSUp,YQL2E353bPw,hypnotize u,n.e.r.d,track,5.0,https://i.scdn.co/image/ab67616d0000485113019066c462f9fa026434ac,2010.0,5.0
71,45nMlmlIPPDVWSCDwdvCB9,ySXryTlo9Ac,latin,holy fuck,album,9.0,https://i.scdn.co/image/ab67616d0000485198bad0a27778ebf36acdafd3,2010.0,7.0
72,4GgEN2tP6Ltzg88qeG1yh6,mHUzdIKQ5x0,rohnert park,ceremony,album,13.0,https://i.scdn.co/image/ab67616d000048515800c8fb5dce70d020d01258,2010.0,8.0
73,6WSmOCaSmjWPV2zGMigAt1,9ZQyNDad3c0,death gate,the gaslamp killer,ep,5.0,https://i.scdn.co/image/ab67616d00004851959b4b0e07f72c7527259dad,2010.0,7.0
74,2dIGnmEIy1WZIcZCFSj6i8,A9RLE74OXUY,plastic beach,gorillaz,ep,16.0,https://i.scdn.co/image/ab67616d00004851661d019f34569f79eae9e985,2010.0,7.0
75,0aPsWGGJFTVz1YIz67uPK7,CB-HKdkM7hg,forget,twin shadow,album,11.0,https://i.scdn.co/image/ab67616d000048513b03696f0efca63ae62a09b9,2009.0,8.0
76,5c7XChrHxYaqykCZLaGM5f,KCuamde9Atc,cosmogramma,flying lotus,album,17.0,https://i.scdn.co/image/ab67616d00004851a9e54a589a171c955c54ed79,2010.0,8.0
77,7MvSB0JTdtl1pSwZcgvYQX,3niVOWuSVF4,the archandroid,janelle monáe,album,18.0,https://i.scdn.co/image/ab67616d00004851120a1366324c2ae1728e17e5,2010.0,8.0
78,5jJGGsAztgUEXUHHZ2zrah,oxiaceqXWbA,the fall,gorillaz,album,15.0,https://i.scdn.co/image/ab67616d00004851bfcb1c9ce002a2c2cd5e9f34,2010.0,5.0
79,32RxIrvDSTYpxikhD7Gl3S,xjVzCXICeuA,surfing the void,klaxons,album,10.0,https://i.scdn.co/image/ab67616d000048513c978e077f2b75af826b927c,2010.0,4.0
80,3PmIQlefjUIPlp6bnZgCfH,7Hq8WgQ-6Gs,fever,sleepy sun,album,9.0,https://i.scdn.co/image/ab67616d000048510d95077218985c88e5d435ea,2020.0,7.0
81,2wSMFAWmbsbXCitByPWPLk,hWJ40emz1ew,lucky shiner,gold panda,album,13.0,https://i.scdn.co/image/ab67616d00004851fa96a6939e4cd7c8d6e1fa5d,2010.0,7.0
82,7ywtDVrT6aKSs4L0zEniYF,Uu1_BYX8ars,dark country magic,big blood,album,1.0,https://i.scdn.co/image/ab67616d00004851b32c71b093999703e8e9867b,2020.0,7.0
83,2T0Sr4KCGXEuhd0bGhvrdL,iqD6M8V0A5U,self-titled,anika,album,14.0,https://i.scdn.co/image/ab67616d0000485100862296f900559efafab50f,2010.0,3.0
